Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07,Column 08,Column 09,Column 10,Column 11,Column 12,Column 13,Column 14
31126,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31127,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31128,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31129,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31146,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31147,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31150,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31153,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31154,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31160,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31189,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31193,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31235,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
31252,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
32348,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
32349,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
32412,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70110,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70116,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70117,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70118,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70119,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70120,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70121,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70122,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70123,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70124,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70125,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70126,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70127,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70128,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70129,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70130,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70131,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70132,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70133,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70134,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70135,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70136,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70137,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70138,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70139,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70140,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70141,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70143,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70144,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70145,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70146,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70147,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70148,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70149,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70150,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70153,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70154,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70155,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70156,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70157,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70158,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70159,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70160,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70163,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70164,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70165,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70166,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
70167,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
72200,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
72327,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
72328,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
72329,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
72330,40,100000,lumpsum, €,5000,4, €,100000,see 'lifetime', €,5000.00,upon decommission, €
